,Income,Kidhome,Teenhome,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumWebPurchases,NumStorePurchases,kmeans_cluster,agglomerative_cluster,dbscan_cluster
0,58138.0,0,0,635,88,546,172,88,88,8,4,1,0,-1
1,46344.0,1,1,11,1,6,2,1,6,1,2,0,1,0
2,71613.0,0,0,426,49,127,111,21,42,8,10,1,2,3
3,26646.0,1,0,11,4,20,10,3,5,2,4,0,1,1
4,58293.0,1,0,173,43,118,46,27,15,5,6,0,1,2
5,62513.0,0,1,520,42,98,0,42,14,6,10,1,2,3
6,55635.0,0,1,235,65,164,50,49,27,7,7,0,2,4
7,33454.0,1,0,76,10,56,3,1,23,4,4,0,1,1
8,30351.0,1,0,14,0,24,3,3,2,3,2,0,1,0
9,5648.0,1,1,28,0,6,1,1,13,1,0,0,1,5
10,51741.5,1,0,5,5,6,0,2,1,1,2,0,1,0
11,7500.0,0,0,6,16,11,11,1,16,2,3,0,1,6
12,63033.0,0,0,194,61,480,225,112,30,3,8,1,0,-1
13,59354.0,1,1,233,2,53,3,5,14,6,5,0,1,7
14,17323.0,0,0,3,14,17,6,1,5,1,3,0,1,6
15,82800.0,0,0,1006,22,115,59,68,45,7,12,1,2,-1
16,41850.0,1,1,53,5,19,2,13,4,3,3,0,1,6
17,37760.0,0,0,84,5,38,150,12,28,4,6,0,1,2
18,76995.0,0,1,1012,80,498,0,16,176,11,9,1,0,-1
19,33812.0,1,0,4,17,19,30,24,39,2,3,0,1,6
20,37040.0,0,0,86,2,73,69,38,48,4,5,0,1,7
21,2447.0,1,0,1,1,1725,1,1,1,0,0,1,0,-1
22,58607.0,0,1,867,0,86,0,0,19,2,9,1,2,8
23,65324.0,0,1,384,0,102,21,32,5,6,9,1,2,9
24,40689.0,0,1,270,3,27,39,6,99,7,5,0,1,7
25,18589.0,0,0,6,4,25,15,12,13,2,3,0,1,6
26,53359.0,1,1,173,4,30,3,6,41,5,4,0,1,1
27,51741.5,1,0,5,1,3,3,263,362,27,0,0,1,-1
28,38360.0,1,0,36,2,42,20,21,10,2,4,0,1,1
29,84618.0,0,0,684,100,801,21,66,0,6,10,1,0,-1
30,10979.0,0,0,8,4,10,2,2,4,3,3,0,1,6
31,38620.0,0,0,112,17,44,34,22,89,2,3,0,1,6
32,40548.0,0,1,110,0,5,2,0,3,2,4,0,1,1
33,46610.0,0,2,96,12,96,33,22,43,4,6,0,1,2
34,68657.0,0,0,482,34,471,119,68,22,3,9,1,0,-1
35,49389.0,1,1,40,0,19,2,1,3,2,3,0,1,6
36,67353.0,0,1,702,17,151,0,8,35,5,12,1,2,23
37,23718.0,1,0,6,3,14,15,7,36,3,2,0,1,0
38,42429.0,0,1,55,0,6,2,0,4,1,3,0,1,6
39,48948.0,0,0,437,8,206,160,49,42,7,5,0,2,10
40,80011.0,0,1,421,76,536,82,178,102,8,5,1,0,11
41,20559.0,1,0,13,1,29,3,0,7,2,3,0,1,6
42,21994.0,0,1,9,0,6,3,1,3,0,3,0,1,6
43,51741.5,0,0,81,11,50,3,2,39,1,4,0,1,1
44,7500.0,1,0,3,1,10,3,2,12,2,3,0,1,6
45,79941.0,0,0,123,164,266,227,30,174,2,9,1,0,-1
46,7500.0,0,0,3,18,14,15,22,50,3,3,0,1,6
47,41728.0,1,0,13,6,15,3,5,13,2,2,0,1,0
48,51741.5,2,1,48,5,48,6,10,7,2,4,0,1,1
49,72550.0,1,1,826,50,317,50,38,38,5,12,1,2,-1
50,65486.0,0,1,245,19,125,37,67,14,4,10,1,2,12
51,79143.0,0,0,650,37,780,27,167,32,6,13,1,0,-1
52,35790.0,1,0,12,6,20,30,1,3,2,3,0,1,6
53,82582.0,0,0,510,120,550,156,40,241,4,7,1,0,-1
54,66373.0,1,1,328,9,124,12,24,109,4,10,1,2,12
55,82384.0,0,0,984,51,432,180,120,190,3,13,1,2,-1
56,70287.0,0,0,295,35,482,121,120,40,5,10,1,0,-1
57,27938.0,1,0,13,0,8,2,1,5,1,4,0,1,1
58,51741.5,1,0,11,3,22,2,2,6,2,3,0,1,6
59,55954.0,0,1,447,0,28,0,0,43,8,6,0,2,2
60,75777.0,0,0,712,26,538,69,13,80,3,11,1,0,-1
61,66653.0,1,1,452,18,102,16,18,6,4,12,1,2,13
62,61823.0,0,1,523,7,134,37,14,169,8,10,1,2,3
63,67680.0,0,1,546,0,48,0,6,6,7,8,1,2,16
64,70666.0,0,0,398,40,367,119,122,30,7,4,1,0,14
65,25721.0,1,0,1,3,6,3,6,15,1,2,0,1,0
66,32474.0,1,1,10,0,1,0,0,0,1,2,0,1,0
67,88194.0,0,1,688,14,309,201,24,38,11,10,1,0,-1
68,69096.0,0,1,247,49,159,7,82,109,5,10,1,2,12
69,74854.0,1,2,856,59,487,58,29,73,2,5,1,0,-1
70,66991.0,0,0,496,36,460,189,60,12,4,6,1,0,15
71,51741.5,1,0,25,3,43,17,4,17,3,3,0,1,6
72,65031.0,0,1,258,107,291,84,37,86,10,13,1,2,-1
73,60631.0,1,1,565,6,65,0,6,19,9,8,1,2,16
74,28332.0,0,0,14,10,13,4,15,9,2,4,0,1,1
75,40246.0,1,0,2,1,6,2,1,1,1,2,0,1,0
76,75251.0,0,0,721,111,925,97,18,18,7,5,1,0,-1
77,75825.0,0,0,1032,105,779,137,105,51,5,9,1,0,-1
78,26326.0,0,0,1,0,5,0,3,9,0,3,0,1,6
